Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2013/2014,""MOLINA PRADOS MARTIN BURO, JUANA MARIA"",Nacional,BIZKAIA GDKO,211,22,73,5,68,34,17,56,,6,54,32,100,720:36,35 / 118,38 / 140,"
"2013/2014,""MONGOMO CARVALLO, MARIA CONCEPCIÓN"",Nacional,GRAN CANARIA 2014,36,21,28,5,23,9,14,14,,2,4,32,13,288:00,,,"
"2013/2014,""MONTENEGRO SANTANA, RITA ESTHER"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,296,22,179,50,129,54,19,64,4,8,68,57,353,628:22,85 / 181,25 / 57,51 / 61"
"2013/2014,""MURPHY, ESHAYA MARIE"",Extranjero,PERFUMERIAS AVENIDA,373,21,142,42,100,26,54,46,8,9,67,37,377,644:57,111 / 231,29 / 94,64 / 80"
"2013/2014,""NDOUR, ASTOU BARRO"",Nacional,GRAN CANARIA 2014,392,22,291,82,209,14,30,65,36,7,98,63,549,800:59,131 / 242,20 / 52,70 / 104"
"2013/2014,""O'REILLY, ORLA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,75,20,15,6,9,10,14,16,3,4,9,11,35,256:44,19 / 52,9 / 33,"
"2013/2014,""OCETE CASTILLO, GABRIELA"",Nacional,RIVAS ECOPOLIS,116,22,37,3,34,54,30,21,1,2,29,30,144,521:56,30 / 63,14 / 44,"
"2013/2014,""OLABARRIA BARINAGARREMENTERIA, IULENE"",Nacional,GIPUZKOA UPV,133,22,87,15,72,42,18,27,1,2,18,41,130,646:54,23 / 68,27 / 76,"
"2013/2014,""ORTIZ VIVES, MARIONA"",Nacional,PERFUMERIAS AVENIDA,58,22,37,7,30,45,28,24,3,2,16,47,68,334:44,21 / 50,,"
"2013/2014,""PABLOS VILLARROEL, LUCIA"",Nacional,CLUB BALONCESTO CONQUERO,89,22,38,9,29,36,17,33,,3,38,35,95,442:01,27 / 59,,"
"2013/2014,""PARHAM, AJA DANIELLE"",Extranjero,CADI - ICG SOFTWARE,249,21,113,30,83,43,40,63,12,5,70,59,246,590:41,69 / 158,18 / 68,57 / 72"
"2013/2014,""PEREZ GUILLEN, MARIA ISABEL"",Nacional,MANN-FILTER,12,12,17,7,10,10,2,5,1,1,1,15,,86:27,,,"
"2013/2014,""PEREZ TORRES, TANIA"",Nacional,CADI - ICG SOFTWARE,87,17,43,13,30,19,15,30,2,3,43,32,59,384:53,15 / 46,12 / 54,"
"2013/2014,""PETEVA, DANIELA ROSENOVA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,95,22,42,9,33,16,20,18,,,15,14,77,424:55,25 / 65,12 / 48,"
"2013/2014,""PINA TOLOSA, MARIA"",Nacional,PERFUMERIAS AVENIDA,51,17,20,6,14,10,4,11,,2,14,14,26,199:07,,,"
"2013/2014,""PIRSIC, SANDRA"",Extranjero,ALIMENTOS DE ZAMORA,218,20,160,49,111,24,12,47,32,4,86,57,340,591:13,83 / 144,,52 / 74"
"2013/2014,""POP, CLAUDIA MONICA"",Extranjero,CLUB BALONCESTO CONQUERO,217,22,103,39,64,28,31,60,2,7,53,53,171,574:33,65 / 143,17 / 74,36 / 44"
"2013/2014,""QUEVEDO CAÑIZARES, LAURA"",Nacional,RIVAS ECOPOLIS,70,20,31,10,21,7,8,11,,2,12,16,62,224:54,,10 / 24,"
"2013/2014,""RAMASCO CERECERO, AINARA"",Nacional,BIZKAIA GDKO,76,22,48,8,40,35,22,54,,4,47,44,58,441:37,20 / 60,,"
"2013/2014,""REVUELTO SÁNCHEZ-AGUILERA, MARIA"",Nacional,CADI - ICG SOFTWARE,143,21,74,15,59,26,29,38,5,1,37,44,123,489:10,34 / 87,21 / 72,"
"2013/2014,""REZAN, MARIJA"",Extranjero,PERFUMERIAS AVENIDA,183,22,156,48,108,20,17,29,17,5,40,44,275,468:29,76 / 150,,"
"2013/2014,""ROBINSON, ANGELICA DANIELLE"",Extranjero,PERFUMERIAS AVENIDA,271,21,167,58,109,23,11,62,29,3,55,49,337,556:28,112 / 196,,41 / 59"
"2013/2014,""RODRIGUEZ MANSO, LEONOR DEL PILAR"",Nacional,PERFUMERIAS AVENIDA,185,22,42,7,35,44,17,33,1,6,23,26,156,499:21,38 / 80,28 / 75,"
"2013/2014,""ROMAN MASEDA, ANA MARIA"",Nacional,BIZKAIA GDKO,53,18,28,7,21,9,5,22,12,1,11,29,18,270:02,20 / 49,,"
"2013/2014,""ROS CUTRINAS, ELIA"",Nacional,SPAR UNIGIRONA,4,14,5,2,3,5,7,4,,1,3,15,-10,82:34,,,"
"2013/2014,""ROUNDTREE, MARGARET YVETTE"",Extranjero,BIZKAIA GDKO,138,16,75,37,38,16,18,27,10,8,26,38,113,443:41,57 / 138,,"
"2013/2014,""ROYO TORRES, BEATRIZ"",Nacional,MANN-FILTER,10,15,30,6,24,4,4,2,,1,1,15,9,119:54,,,"
"2013/2014,""RUBENE, LINDA"",Extranjero,ALIMENTOS DE ZAMORA,36,20,33,10,23,7,3,18,4,3,14,39,-11,271:16,,,"
"2013/2014,""SARR, OUMOUL KHAIRY"",Nacional,GIPUZKOA UPV,323,22,173,38,135,41,25,74,30,9,68,75,335,769:32,140 / 282,,43 / 58"
"2013/2014,""SEGUES ECEIZA, AMAIA"",Nacional,GIPUZKOA UPV,38,22,31,12,19,5,5,10,,,8,6,55,194:53,,,"
"2013/2014,""SEGUES EZEIZA, EDURNE"",Nacional,GIPUZKOA UPV,26,15,11,4,7,2,2,6,,1,13,12,13,96:04,,,"
"2013/2014,""SOLER SUAREZ, PATRICIA"",Nacional,CLUB BALONCESTO CONQUERO,26,13,19,7,12,1,2,4,1,2,3,10,19,91:22,,,"
"2013/2014,""SOTIRIOU , AIKATERINA"",Extranjero,BEROIL - CIUDAD DE BURGOS,111,11,63,15,48,16,11,46,2,2,31,23,88,348:54,29 / 78,10 / 29,"
"2013/2014,""SUAREZ UTRERO, ANA MARIA"",Nacional,ALIMENTOS DE ZAMORA,172,18,66,16,50,57,20,69,,11,39,31,121,552:21,47 / 120,17 / 58,"
"2013/2014,""SYLL , NDEYE AMY"",Extranjero,ALIMENTOS DE ZAMORA,91,22,73,11,62,9,6,18,7,5,16,25,93,289:24,40 / 97,,"
"2013/2014,""THOMAS, KRYSTAL VICTORIA"",Extranjero,PERFUMERIAS AVENIDA,102,22,157,51,106,18,15,38,28,1,48,55,204,384:12,42 / 88,,"
"2013/2014,""VEGA REBORA, GISELA VERONICA"",Nacional,MANN-FILTER,338,22,197,71,126,29,24,84,3,22,95,46,386,613:18,134 / 262,,67 / 86"
"2013/2014,""VILARO ARAGONES, ANDREA"",Nacional,BEROIL - CIUDAD DE BURGOS,113,22,58,8,50,31,38,31,7,4,38,43,107,527:26,24 / 64,15 / 67,"
"2013/2014,""VIVAS SACRAMENTO, ELISABET"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,80,22,28,3,25,13,10,16,1,2,11,60,12,436:25,,16 / 44,"
"2013/2014,""VUJOVIC, ALEKSANDRA"",Extranjero,ALIMENTOS DE ZAMORA,78,11,29,9,20,14,9,13,1,1,17,24,29,260:53,14 / 52,12 / 49,"
"2013/2014,""XARGAY CASADEMONT, MARTA"",Nacional,PERFUMERIAS AVENIDA,174,22,67,12,55,73,31,52,6,1,56,53,202,545:23,46 / 93,22 / 67,"
Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2012/2013,""ALLISON, RACHEL LINDSAY"",Extranjero,BEROIL - CIUDAD DE BURGOS,383,20,153,60,93,23,44,61,4,12,95,52,374,689:39,107 / 240,27 / 70,88 / 115"
"2012/2013,""ALONSO SANCHEZ, VERONICA"",Nacional,C.B. BEMBIBRE PDM,103,20,72,8,64,47,24,25,,7,42,43,116,708:34,29 / 92,11 / 40,"
"2012/2013,""ALONSO SINGER, ANA"",Nacional,TOYOTA RECREATIVO CONQUERO,75,20,40,13,27,10,5,11,,1,4,31,41,326:41,,12 / 37,"
"2012/2013,""ANTOJA ROVIRA, LAURA"",Nacional,PERFUMERIAS AVENIDA,75,17,14,2,12,32,11,21,,1,12,22,57,300:20,,14 / 38,"
"2012/2013,""ARGUELLO CUENCA, PATRICIA"",Nacional,UNB OBENASA,178,20,46,11,35,24,16,42,2,1,34,37,112,462:30,26 / 63,33 / 101,"
"2012/2013,""ARROYO ZUBELDIA, LAURA"",Nacional,HONDARRIBIA - IRÚN,30,16,21,10,11,2,5,8,,,11,16,18,132:31,,,"
"2012/2013,""ASURMENDI VILLAVERDE, MARIA DEL CARMEN"",Nacional,UNB OBENASA,157,20,67,15,52,69,31,58,1,2,54,30,201,596:18,23 / 46,30 / 85,"
"2012/2013,""BAHI BLANQUERA, GEORGINA"",Nacional,CADI - ICG SOFTWARE,73,20,39,16,23,7,10,16,1,6,15,37,41,271:50,24 / 44,5 / 26,"
"2012/2013,""BARTONOVA , KATERINA"",Extranjero,CADI - ICG SOFTWARE,104,20,60,12,48,40,25,43,2,2,19,41,88,456:05,34 / 85,9 / 30,"
"2012/2013,""BELD , MYRTHE BRIGIT MARIA"",Extranjero,SPAR UNIGIRONA,82,19,35,8,27,27,26,23,4,2,32,46,75,320:01,15 / 47,9 / 30,"
"2012/2013,""BERMEJO MORENO, CLARA SUSANA"",Nacional,RIVAS ECOPOLIS,47,16,45,7,38,33,23,14,1,2,25,19,121,305:54,,,"
"2012/2013,""BLE, DOUKOLE VANESSA"",Nacional,GRAN CANARIA 2014,267,20,226,78,148,50,31,79,5,4,110,34,428,771:52,97 / 198,,73 / 114"
"2012/2013,""BORGES DOS REIS, SONIA"",Extranjero,HONDARRIBIA - IRÚN,111,19,59,16,43,7,7,28,4,2,20,32,89,287:07,48 / 99,,"
"2012/2013,""BOU LLOVERAS, EVA"",Nacional,SPAR UNIGIRONA,73,20,48,9,39,11,9,23,3,4,29,20,76,323:59,,7 / 28,"
"2012/2013,""BRAVARD , CIERRA NICHOLE"",Extranjero,SPAR UNIGIRONA,168,20,87,21,66,12,7,41,6,1,52,57,158,388:51,62 / 122,,44 / 58"
"2012/2013,""BROWN, LA NEDRA JE'TAIME"",Extranjero,C.B. BEMBIBRE PDM,261,20,107,41,66,10,16,43,11,5,75,53,265,563:59,108 / 202,,45 / 65"
"2012/2013,""BRÖRING, TANYA"",Extranjero,TOYOTA RECREATIVO CONQUERO,138,18,63,14,49,47,28,35,,1,28,66,102,543:25,43 / 107,12 / 44,"
"2012/2013,""BUCH ROSELL, ROSO"",Nacional,C.B. BEMBIBRE PDM,100,20,32,9,23,29,13,34,,6,24,29,44,401:51,27 / 77,11 / 38,"
"2012/2013,""CABRERA ARGUELLO, PATRICIA"",Nacional,TOYOTA RECREATIVO CONQUERO,95,20,17,4,13,1,3,14,1,2,2,10,38,271:55,,29 / 76,"
"2012/2013,""CARBO COLOMA, ANNA"",Nacional,SPAR UNIGIRONA,168,18,80,34,46,34,29,26,,4,34,16,229,510:02,49 / 91,14 / 37,"
"2012/2013,""CASAS CARRERAS, QUERALT"",Nacional,RIVAS ECOPOLIS,237,20,65,24,41,35,42,33,3,2,55,21,250,527:25,76 / 158,17 / 43,34 / 57"
"2012/2013,""CHATZINIKOLAU, OLGA"",Extranjero,TINTOS DE TORO CAJA RURAL,151,18,109,21,88,42,25,44,2,3,59,41,220,538:38,52 / 115,,38 / 52"
"2012/2013,""CHUMILLAS PERIS, BERTA"",Nacional,BEROIL - CIUDAD DE BURGOS,163,20,90,24,66,30,47,44,1,4,59,71,173,581:08,36 / 71,22 / 68,"
"2012/2013,""COVINGTON, ARHONDA"",Extranjero,CADI - ICG SOFTWARE,198,18,140,33,107,24,27,47,8,10,35,44,219,526:07,78 / 162,,33 / 49"
"2012/2013,""CRUZ LEBRATO, ANNA"",Nacional,RIVAS ECOPOLIS,265,20,71,15,56,48,36,38,3,7,51,25,256,584:03,83 / 187,19 / 58,42 / 47"
"2012/2013,""CUEVAS MEDIAVILLA, AITANA"",Nacional,BEROIL - CIUDAD DE BURGOS,119,20,85,27,58,16,6,44,11,8,40,43,114,321:40,44 / 94,,31 / 48"
"2012/2013,""DE KLEIJN, MARLOU"",Extranjero,CADI - ICG SOFTWARE,69,20,25,13,12,16,7,22,,4,25,6,52,298:56,19 / 49,6 / 28,"
"2012/2013,""DENSON, AMY RAE"",Extranjero,TINTOS DE TORO CAJA RURAL,266,19,134,51,83,34,13,43,3,8,41,39,260,543:44,118 / 249,,"
"2012/2013,""DIAZ CASTELLANO, YURENA"",Nacional,GRAN CANARIA 2014,213,16,41,5,36,40,12,46,1,4,48,38,121,589:10,43 / 117,29 / 91,40 / 50"
"2012/2013,""DIEZ FERNANDEZ, NAIARA"",Nacional,UNB OBENASA,37,12,12,5,7,4,1,9,,2,8,9,21,104:57,,,"
"2012/2013,""FEASTER, ALISON"",Extranjero,SPAR UNIGIRONA,188,20,76,26,50,37,27,40,4,1,35,39,188,545:11,33 / 78,31 / 81,"
"2012/2013,""FERNANDEZ FARRES, MARTA"",Nacional,PERFUMERIAS AVENIDA,240,18,39,7,32,56,29,34,5,9,42,14,234,494:54,79 / 151,13 / 37,43 / 67"
"2012/2013,""FREIXANET VIEJO, JAEL"",Nacional,SPAR UNIGIRONA,107,19,37,9,28,11,16,20,4,1,21,39,80,328:41,20 / 54,17 / 32,"
"2012/2013,""GARCIA TORRES, CRISTINA"",Nacional,CADI - ICG SOFTWARE,152,20,58,9,49,37,27,29,7,4,30,21,157,530:08,61 / 140,,"
"2012/2013,""GERMAN VELASCO, ICIAR"",Nacional,TOYOTA RECREATIVO CONQUERO,143,20,98,49,49,37,25,47,,6,52,64,140,583:33,33 / 79,17 / 56,"
"2012/2013,""GIL COLLADO, LAURA"",Nacional,BEROIL - CIUDAD DE BURGOS,209,20,121,56,65,25,39,41,2,15,70,55,205,602:53,71 / 178,10 / 36,37 / 54"
"2012/2013,""GIMENO MELENDO, LAURA"",Nacional,TINTOS DE TORO CAJA RURAL,79,20,62,23,39,15,8,22,7,,13,38,47,362:03,26 / 83,5 / 23,"
"2012/2013,""GOMEZ FERREIROS, SARA"",Nacional,UNB OBENASA,107,20,45,5,40,24,24,49,2,7,27,32,55,499:36,20 / 66,18 / 55,"
"2012/2013,""GOMEZ IGLESIAS, REGINA"",Nacional,BEROIL - CIUDAD DE BURGOS,122,19,49,12,37,28,42,53,1,2,14,44,68,553:19,25 / 65,19 / 65,"
"2012/2013,""GOMEZ IGUAL, ANNA"",Nacional,BEROIL - CIUDAD DE BURGOS,131,20,54,9,45,50,27,28,4,,41,20,181,518:48,25 / 61,19 / 56,"
"2012/2013,""GOMEZ KEHSLER, TATIANA WALESKA"",Extranjero,HONDARRIBIA - IRÚN,206,20,113,21,92,12,11,33,13,4,55,35,234,612:30,87 / 175,,32 / 48"
"2012/2013,""HENRY, ANEIKA ANNA-KAY"",Extranjero,RIVAS ECOPOLIS,180,19,141,31,110,23,17,42,13,1,48,43,284,451:58,74 / 116,,"
"2012/2013,""HERRERA BOXO, LAURA"",Nacional,UNB OBENASA,211,19,96,38,58,17,7,38,2,6,54,39,240,600:10,86 / 139,,39 / 50"
"2012/2013,""HERRERA SANTESTEBAN, RAQUEL"",Nacional,UNB OBENASA,20,17,23,7,16,7,2,9,4,1,5,10,13,198:42,,,"
"2012/2013,""HONTI, KATALIN"",Extranjero,RIVAS ECOPOLIS,163,20,50,12,38,47,9,32,1,1,36,26,174,519:16,33 / 73,24 / 54,"
"2012/2013,""JORDANA BOFILL, NOEMI"",Nacional,SPAR UNIGIRONA,175,20,57,9,48,80,13,60,1,2,49,29,153,575:30,21 / 67,37 / 106,"
"2012/2013,""KARCIC, LISA ANN"",Extranjero,HONDARRIBIA - IRÚN,172,20,108,22,86,27,47,42,20,8,39,48,197,651:50,30 / 88,31 / 84,"
"2012/2013,""KURASOVA, OLEKSANDRA"",Extranjero,RIVAS ECOPOLIS,189,19,93,24,69,14,11,42,3,3,21,53,138,427:21,52 / 119,18 / 44,"
"2012/2013,""LIZARAZU HERRERA, MARINA"",Nacional,RIVAS ECOPOLIS,39,12,13,3,10,18,9,8,,,7,22,37,158:00,,,"
"2012/2013,""LLOBET CODERCH, ITZIAR"",Nacional,BEROIL - CIUDAD DE BURGOS,28,18,24,7,17,6,8,7,,,2,22,8,200:21,,7 / 27,"
"2012/2013,""LOPEZ MARQUES, CRISTINA"",Nacional,C.B. BEMBIBRE PDM,138,18,57,12,45,47,27,46,1,6,37,46,76,531:35,19 / 70,30 / 102,"
"2012/2013,""MARCOS BENITO, BLANCA"",Nacional,BEROIL - CIUDAD DE BURGOS,158,19,30,7,23,16,28,25,,2,25,35,108,529:06,43 / 85,19 / 64,"
"2012/2013,""MESTDAGH, KIM"",Extranjero,TINTOS DE TORO CAJA RURAL,140,20,61,14,47,18,24,21,1,,14,41,120,397:02,,30 / 78,"
"2012/2013,""MILLER, CHERIN BRITANY"",Extranjero,C.B. BEMBIBRE PDM,155,19,83,27,56,6,2,41,8,4,49,43,126,323:23,69 / 140,,"
"2012/2013,""MIRCHANDANI VILLAR, LIDIA"",Nacional,TOYOTA RECREATIVO CONQUERO,134,17,41,3,38,58,11,25,,2,33,23,154,508:35,25 / 51,23 / 66,"
"2012/2013,""MOLINA PRADOS MARTIN BURO, JUANA MARIA"",Nacional,TINTOS DE TORO CAJA RURAL,61,20,25,5,20,12,6,14,,1,20,7,54,221:32,,9 / 31,"
"2012/2013,""MONGOMO CARVALLO, MARIA CONCEPCIÓN"",Nacional,GRAN CANARIA 2014,43,20,41,6,35,14,15,14,2,2,6,39,10,367:59,,9 / 46,"
"2012/2013,""MONROE, JACINTA LISETTE"",Extranjero,SPAR UNIGIRONA,268,20,174,39,135,8,19,39,22,8,57,41,346,506:47,111 / 202,,46 / 67"
"2012/2013,""MONTENEGRO SANTANA, RITA ESTHER"",Nacional,C.B. BEMBIBRE PDM,162,20,102,24,78,30,15,25,3,6,19,31,162,461:30,59 / 136,11 / 38,"
"2012/2013,""MORRISON JARA, ZIOMARA ESKET"",Extranjero,RIVAS ECOPOLIS,119,16,80,31,49,9,1,17,13,8,28,25,140,251:17,43 / 90,,"
"2012/2013,""MOSBY, TYRONE BERNICE"",Extranjero,TOYOTA RECREATIVO CONQUERO,289,15,112,30,82,15,27,47,10,7,67,36,302,492:20,114 / 218,,40 / 53"
"2012/2013,""NAVARRO ALVAREZ, REBECA"",Nacional,GRAN CANARIA 2014,23,14,14,,14,6,2,9,,,3,11,10,140:08,,,"
"2012/2013,""NDOUR, ASTOU BARRO"",Nacional,GRAN CANARIA 2014,291,20,163,50,113,9,13,40,15,7,52,70,283,660:03,96 / 182,20 / 61,39 / 55"
"2012/2013,""NDOYE, BINETA"",Extranjero,GRAN CANARIA 2014,86,19,96,37,59,3,6,22,11,4,24,50,88,355:36,37 / 91,,"
"2012/2013,""NIEDOLA, SABINE"",Extranjero,CADI - ICG SOFTWARE,75,15,51,20,31,4,9,9,1,2,22,24,88,208:56,30 / 64,,"
"2012/2013,""ORAVCOVA, ANDREA"",Extranjero,CADI - ICG SOFTWARE,88,19,35,4,31,24,16,15,1,2,20,43,56,391:21,20 / 55,14 / 42,"
"2012/2013,""ORTIZ VIVES, MARIONA"",Nacional,TINTOS DE TORO CAJA RURAL,164,20,60,14,46,60,32,64,6,4,44,48,139,561:51,59 / 144,7 / 22,"
"2012/2013,""PABLOS VILLARROEL, LUCIA"",Nacional,TOYOTA RECREATIVO CONQUERO,86,18,34,4,30,31,13,26,,8,35,28,64,420:59,25 / 69,6 / 24,"
"2012/2013,""PARHAM, AJA DANIELLE"",Extranjero,CADI - ICG SOFTWARE,216,20,81,24,57,34,30,67,14,4,54,51,184,527:30,65 / 126,17 / 64,35 / 50"
"2012/2013,""PASCUA SUAREZ, MARIA LUCILA"",Nacional,PERFUMERIAS AVENIDA,99,18,95,25,70,15,16,21,7,1,23,33,148,332:32,42 / 84,,"
"2012/2013,""PEREZ TORRES, TANIA"",Nacional,CADI - ICG SOFTWARE,58,15,22,5,17,6,7,10,,1,24,17,61,171:01,,,"
"2012/2013,""PINA TOLOSA, MARIA"",Nacional,PERFUMERIAS AVENIDA,77,20,36,9,27,5,8,19,3,,16,19,55,268:50,24 / 52,5 / 25,"
"2012/2013,""POUNDS , DIONNE MAI CHRISTINA"",Extranjero,TINTOS DE TORO CAJA RURAL,187,19,44,2,42,11,16,29,,3,35,49,114,445:33,30 / 74,32 / 79,"
"2012/2013,""PUTNINA, AIJA"",Extranjero,UNB OBENASA,260,17,145,49,96,12,15,41,14,12,68,42,258,594:42,75 / 181,16 / 58,62 / 75"
"2012/2013,""QUINTERO CASTELLANO, THANIA"",Nacional,HONDARRIBIA - IRÚN,45,18,20,6,14,18,12,18,2,1,16,25,27,283:22,,7 / 22,"
"2012/2013,""REVUELTO SÁNCHEZ-AGUILERA, MARIA"",Nacional,UNB OBENASA,101,20,80,19,61,17,23,40,2,3,44,50,74,423:43,19 / 80,16 / 47,"
"2012/2013,""REZAN, MARIJA"",Extranjero,PERFUMERIAS AVENIDA,94,12,60,25,35,5,8,16,8,1,23,17,129,215:59,38 / 68,,"
"2012/2013,""ROMERO GONZALEZ, LETICIA"",Nacional,GRAN CANARIA 2014,297,20,72,15,57,70,41,55,1,7,101,43,343,739:15,88 / 181,15 / 38,76 / 94"
"2012/2013,""SANCHEZ MARRUFO, BEATRIZ"",Nacional,C.B. BEMBIBRE PDM,58,20,46,16,30,5,9,20,3,2,19,34,46,274:16,,,"
"2012/2013,""SARR, OUMOUL KHAIRY"",Nacional,SPAR UNIGIRONA,142,20,82,18,64,33,17,54,6,3,30,52,155,458:00,58 / 96,,"
"2012/2013,""SOLER SUAREZ, PATRICIA"",Nacional,TOYOTA RECREATIVO CONQUERO,16,17,15,8,7,3,1,13,2,2,6,8,10,103:26,,,"
"2012/2013,""SOTIRIOU , AIKATERINA"",Extranjero,UNB OBENASA,125,19,99,20,79,22,23,32,2,5,36,49,110,477:41,34 / 108,14 / 46,"
"2012/2013,""STEVENSON, MANDISA ARAMINTA SANURA"",Extranjero,HONDARRIBIA - IRÚN,169,20,139,42,97,19,14,32,9,6,48,42,186,571:03,60 / 161,7 / 23,"
"2012/2013,""SUAREZ UTRERO, ANA MARIA"",Nacional,HONDARRIBIA - IRÚN,169,20,65,18,47,58,28,55,,4,42,41,148,579:37,38 / 108,24 / 64,"
"2012/2013,""SULCIUTE, EGLE"",Extranjero,PERFUMERIAS AVENIDA,175,20,127,31,96,38,18,41,2,5,42,38,240,496:08,34 / 70,27 / 64,"
"2012/2013,""TINEO HERNANDEZ, BLANCA CELIA"",Nacional,GRAN CANARIA 2014,74,17,17,1,16,6,9,20,,1,10,24,6,259:08,,16 / 59,"
"2012/2013,""TRAORE, ASTOU"",Extranjero,CADI - ICG SOFTWARE,317,20,104,34,70,20,25,61,4,12,78,61,300,569:11,97 / 169,12 / 40,87 / 101"
"2012/2013,""TUDANCA ACEDO, MARTA"",Nacional,C.B. BEMBIBRE PDM,76,20,67,27,40,16,8,28,,2,23,18,83,354:11,23 / 59,5 / 23,"
"2012/2013,""TUUKKANEN, TARU TELLERVO"",Extranjero,TINTOS DE TORO CAJA RURAL,274,20,125,47,78,18,21,23,8,4,82,51,306,542:06,95 / 209,,78 / 100"
"2012/2013,""VILARO ARAGONES, ANDREA"",Nacional,TINTOS DE TORO CAJA RURAL,31,17,21,7,14,9,4,7,,,10,13,17,175:39,,,"
"2012/2013,""VIVAS SACRAMENTO, ELISABET"",Nacional,C.B. BEMBIBRE PDM,98,20,42,15,27,32,8,25,4,5,16,51,35,421:12,17 / 54,19 / 62,"
"2012/2013,""WALICH, JOANNA JADWIGA"",Extranjero,TOYOTA RECREATIVO CONQUERO,268,18,91,23,68,17,19,53,9,6,55,68,219,526:38,99 / 188,9 / 24,43 / 52"
"2012/2013,""WILLINGHAM, LE`COE LOUISE"",Extranjero,PERFUMERIAS AVENIDA,147,14,91,21,70,17,15,27,8,3,32,37,169,362:32,46 / 81,9 / 38,"
"2012/2013,""XARGAY CASADEMONT, MARTA"",Nacional,PERFUMERIAS AVENIDA,170,20,72,20,52,51,41,63,2,5,55,57,178,528:47,40 / 82,20 / 53,"
Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2011/2012,""ADAMS, DEMETRESS KEYONIA"",Extranjero,RC CELTA BALONCESTO,253,26,179,67,112,16,25,47,17,5,99,60,392,734:27,98 / 163,,57 / 76"
"2011/2012,""AGUILAR LOPEZ , ELISA"",Nacional,RIVAS ECOPOLIS,195,24,38,12,26,50,19,29,,5,30,11,132,656:30,48 / 149,22 / 72,"
"2011/2012,""ALLISON, RACHEL LINDSAY"",Extranjero,JOPISA CIUDAD DE BURGOS,167,13,84,43,41,8,23,30,4,11,33,34,146,408:57,53 / 125,10 / 28,"
"2011/2012,""ANTOJA ROVIRA, LAURA"",Nacional,PERFUMERIAS AVENIDA,115,23,32,6,26,47,22,34,,3,21,48,88,467:42,28 / 59,15 / 45,"
"2011/2012,""ARGUELLO CUENCA, PATRICIA"",Nacional,G CANARIA 2014 CAJA DE CANARI,243,25,62,9,53,38,21,50,4,5,45,28,177,664:13,25 / 76,49 / 144,46 / 53"
"2011/2012,""ASURMENDI VILLAVERDE, MARIA DEL CARMEN"",Nacional,UNB OBENASA LACTURALE,155,24,52,4,48,49,20,64,1,5,49,43,112,607:32,,28 / 92,"
"2011/2012,""BAHI BLANQUERA, GEORGINA"",Nacional,GIRONA FC,77,26,42,12,30,3,9,18,2,1,12,44,40,303:46,,,"
"2011/2012,""BARNERT, ANNE STINA"",Extranjero,PALACIO DE CONGRESOS DE IBIZA,149,24,55,14,41,37,27,55,1,8,35,59,82,663:57,48 / 107,12 / 47,"
"2011/2012,""BERMEJO MORENO, CLARA SUSANA"",Nacional,RIVAS ECOPOLIS,46,13,50,10,40,34,19,22,2,,16,21,93,354:54,,,"
"2011/2012,""BETTONVIL, JIL"",Extranjero,PALACIO DE CONGRESOS DE IBIZA,30,15,29,9,20,3,1,15,,3,7,22,-6,218:47,,,"
"2011/2012,""BLE, DOUKOLE VANESSA"",Nacional,G CANARIA 2014 CAJA DE CANARI,232,26,277,104,173,38,43,81,14,10,118,66,394,941:59,78 / 208,,76 / 117"
"2011/2012,""BONNER, DEWANNA TENISE"",Extranjero,PERFUMERIAS AVENIDA,366,23,153,38,115,31,30,36,19,7,71,41,447,666:09,116 / 207,22 / 54,68 / 84"
"2011/2012,""BORISOVA GUNEVA , EVELINA"",Extranjero,JOPISA CIUDAD DE BURGOS,175,25,92,39,53,21,19,58,6,8,45,48,94,553:59,55 / 163,9 / 42,"
"2011/2012,""BOU LLOVERAS, EVA"",Nacional,GIRONA FC,38,17,24,5,19,10,2,12,,1,7,9,29,195:10,,,"
"2011/2012,""BRANTLOVA, TEREZA"",Extranjero,CADI LA SEU,47,21,13,2,11,12,11,19,,2,16,22,18,213:49,,8 / 37,"
